threshold,final_accuracy,after_layer3_block5_rate,after_layer3_block5_accuracy,after_layer3_block10_rate,after_layer3_block10_accuracy,after_layer3_block15_rate,after_layer3_block15_accuracy,after_layer3_block20_rate,after_layer3_block20_accuracy,after_layer4_rate,after_layer4_accuracy,after_layer3_block5_sequential_rate,after_layer3_block5_sequential_accuracy,after_layer3_block10_sequential_rate,after_layer3_block10_sequential_accuracy,after_layer3_block15_sequential_rate,after_layer3_block15_sequential_accuracy,after_layer3_block20_sequential_rate,after_layer3_block20_sequential_accuracy,after_layer4_sequential_rate,after_layer4_sequential_accuracy,final_rate,overall_accuracy
0.64,74.04,43.98,74.3974533879036,54.36,77.96173657100809,59.02,79.66790918332768,65.72,80.52343274497869,76.36,88.18753273965427,43.98,74.3974533879036,20.56,65.56420233463035,10.74,56.42458100558659,7.58,54.35356200527705,8.1,72.8395061728395,9.04,64.56
0.65,74.04,42.92,75.0232991612302,53.68,78.3532041728763,58.12,80.04129387474191,64.82,80.96266584387534,75.86,88.32059056156076,42.92,75.0232991612302,20.66,65.92449177153921,10.52,55.893536121673,7.66,55.61357702349869,8.68,73.04147465437788,9.56,64.82
0.66,74.04,42.0,75.61904761904762,52.9,78.71455576559546,57.48,80.41057759220598,64.12,81.31628197130381,75.18,88.5341846235701,42.0,75.61904761904762,20.62,66.24636275460718,10.62,57.81544256120527,7.78,56.81233933161954,8.88,73.1981981981982,10.1,65.2
0.67,74.04,41.1,76.2043795620438,52.08,79.22427035330261,56.46,81.0131066241587,63.08,82.05453392517438,74.54,88.83820767373223,41.1,76.2043795620438,20.36,66.79764243614932,10.7,59.626168224299064,7.8,58.717948717948715,9.24,74.02597402597402,10.8,65.62
0.68,74.04,40.36,76.66005946481665,51.08,79.63978073610024,55.58,81.64807484706729,62.22,82.41722918675667,73.78,89.18406072106262,40.36,76.66005946481665,20.24,67.19367588932806,10.46,61.185468451242826,7.94,59.44584382871537,9.48,75.73839662447257,11.52,66.02
0.69,74.04,39.56,76.8958543983822,50.26,80.1432550736172,54.76,82.24981738495252,61.6,82.72727272727273,73.14,89.33552091878589,39.56,76.8958543983822,20.06,68.49451645064805,10.36,62.16216216216216,8.18,60.391198044009776,9.84,76.21951219512195,12.0,66.5
0.7,74.04,38.96,77.20739219712526,49.36,80.67260940032415,53.94,82.72154245457916,60.58,83.42687355562892,72.58,89.55635161201432,38.96,77.20739219712526,19.74,69.30091185410335,10.34,62.86266924564797,8.14,62.65356265356265,10.24,76.171875,12.58,66.8
0.71,74.04,38.14,77.87100157315155,48.64,81.12664473684211,52.9,83.40264650283554,59.86,83.6952890076846,72.06,89.89730779905634,38.14,77.87100157315155,19.66,69.8880976602238,10.12,64.42687747035573,8.48,62.264150943396224,10.32,77.32558139534883,13.28,67.04
0.72,74.04,37.14,78.51373182552504,47.62,81.94036119277614,51.9,84.04624277456648,59.14,84.00405816706122,71.4,90.16806722689076,37.14,78.51373182552504,19.24,71.41372141372142,10.16,65.74803149606299,8.78,62.87015945330296,10.58,78.0718336483932,14.1,67.42
0.73,74.04,36.18,78.77280265339967,46.78,82.64215476699444,51.18,84.5642829230168,58.28,84.48867536032944,70.98,90.33530571992111,36.18,78.77280265339967,19.2,72.91666666666667,10.1,66.13861386138613,8.96,64.0625,10.84,78.78228782287823,14.72,67.7
0.74,74.04,35.52,78.99774774774775,45.82,83.19511130510693,50.36,84.90865766481335,57.56,84.85059068797776,70.42,90.4572564612326,35.52,78.99774774774775,18.72,73.93162393162393,10.32,66.47286821705427,9.08,64.75770925110132,11.12,79.31654676258992,15.24,67.98
0.75,74.04,34.96,79.29061784897026,44.92,83.70436331255566,49.52,85.33925686591276,56.78,85.10038746037337,69.68,90.81515499425947,34.96,79.29061784897026,18.2,74.72527472527473,10.48,67.17557251908397,9.02,66.07538802660754,11.32,80.56537102473499,16.02,68.36
0.76,74.04,34.32,79.83682983682984,44.2,84.11764705882354,48.82,85.86644817697665,56.04,85.4389721627409,68.92,91.17817759721416,34.32,79.83682983682984,17.82,75.30864197530865,10.34,67.69825918762089,8.96,67.1875,11.66,81.47512864493997,16.9,68.68
0.77,74.04,33.5,80.59701492537313,43.38,84.64730290456431,48.3,86.2111801242236,55.22,85.72980804056502,68.36,91.39847864248098,33.5,80.59701492537313,17.68,75.67873303167421,10.44,68.77394636015326,8.88,67.34234234234235,11.82,81.7258883248731,17.68,68.96
0.78,74.04,32.66,81.0777709736681,42.48,85.02824858757062,47.46,86.72566371681415,54.56,86.07038123167156,67.68,91.63711583924349,32.66,81.0777709736681,17.48,76.08695652173913,10.48,70.0381679389313,8.94,68.0089485458613,12.08,82.11920529801324,18.36,69.2
0.79,74.04,31.9,81.44200626959248,41.62,85.63190773666507,46.6,87.03862660944206,53.76,86.30952380952381,67.08,91.80083482409064,31.9,81.44200626959248,17.2,76.97674418604652,10.46,70.93690248565966,8.94,68.90380313199105,12.3,82.27642276422765,19.2,69.4
0.8,74.04,30.92,82.27684346701164,40.46,86.40632723677706,45.82,87.64731558271497,53.12,86.67168674698796,66.4,92.10843373493977,30.92,82.27684346701164,16.88,77.96208530805687,10.56,71.96969696969697,9.08,67.84140969162996,12.52,82.90734824281151,20.04,69.58
0.81,74.04,30.06,82.90086493679308,39.56,87.31041456016177,44.8,88.25892857142857,52.04,87.16372021521906,65.74,92.30301186492242,30.06,82.90086493679308,16.64,79.32692307692308,10.38,73.79576107899807,8.98,68.15144766146993,12.98,83.05084745762711,20.96,69.98
0.82,74.04,29.22,83.6413415468857,38.7,87.70025839793281,43.76,88.89396709323583,51.24,87.43169398907104,64.96,92.61083743842364,29.22,83.6413415468857,16.3,80.0,10.08,75.39682539682539,9.12,69.29824561403508,13.08,83.94495412844037,22.2,70.24
0.83,74.04,28.52,84.15147265077138,37.82,88.04865150713908,42.9,89.46386946386946,50.26,87.70393951452448,64.1,92.94851794071762,28.52,84.15147265077138,15.94,80.67754077791719,9.98,76.55310621242485,8.94,68.90380313199105,13.28,84.93975903614458,23.34,70.4
0.84,74.04,27.66,85.03253796095444,37.0,88.5945945945946,41.9,90.11933174224343,49.4,88.13765182186235,63.38,93.08930261912275,27.66,85.03253796095444,15.62,81.56209987195902,9.74,78.2340862422998,9.14,68.92778993435448,13.66,84.9194729136164,24.18,70.82
0.85,74.04,26.8,85.22388059701493,36.14,88.98727172108467,41.1,90.60827250608273,48.26,88.47907169498549,62.56,93.41432225063939,26.8,85.22388059701493,15.5,82.58064516129032,9.46,80.12684989429175,9.06,69.5364238410596,14.02,86.16262482168331,25.16,71.16
0.86,74.04,25.98,86.14318706697459,35.24,89.67082860385925,40.26,90.85941381023348,47.26,89.16631400761743,61.66,93.73986376905611,25.98,86.14318706697459,15.22,83.5742444152431,9.52,80.25210084033614,8.88,71.3963963963964,14.06,86.7709815078236,26.34,71.54
0.87,74.04,25.1,86.61354581673307,34.14,90.50966608084359,39.36,91.26016260162602,46.24,89.66262975778547,60.7,93.97034596375617,25.1,86.61354581673307,14.8,85.4054054054054,9.58,80.58455114822547,8.96,73.21428571428571,14.04,86.6096866096866,27.52,71.86
0.88,74.04,24.08,87.54152823920266,32.9,91.42857142857143,38.46,91.52366094643786,45.28,89.75265017667844,59.64,94.16498993963782,24.08,87.54152823920266,14.32,86.03351955307262,9.6,81.66666666666667,8.96,73.66071428571429,14.2,86.90140845070422,28.84,71.96
0.89,74.04,23.08,88.0415944540728,32.02,92.0049968769519,37.46,91.88467698878804,44.08,90.33575317604355,58.7,94.24190800681431,23.08,88.0415944540728,14.22,87.48241912798875,9.28,81.89655172413794,8.88,75.22522522522523,14.44,87.25761772853186,30.1,72.3
0.9,74.04,22.2,88.46846846846847,30.78,92.33268356075374,36.32,92.45594713656388,42.92,90.68033550792171,57.56,94.5100764419736,22.2,88.46846846846847,13.7,87.88321167883211,8.98,83.96436525612472,8.8,76.13636363636364,14.54,88.58321870701513,31.78,72.42
0.91,74.04,21.14,88.74172185430463,29.4,92.65306122448979,34.82,93.27972429638139,41.76,91.044061302682,56.02,94.89468047126026,21.14,88.74172185430463,13.22,88.35098335854765,8.7,85.74712643678161,8.92,76.68161434977578,14.6,90.0,33.42,72.66
0.92,74.04,20.22,89.02077151335311,28.26,92.92285916489737,33.7,93.70919881305637,40.68,91.54375614552606,54.94,95.37677466326902,20.22,89.02077151335311,12.72,88.83647798742139,8.84,87.33031674208145,8.66,78.29099307159353,14.68,91.14441416893733,34.88,72.96
0.93,74.04,18.96,89.87341772151899,27.22,93.38721528288023,32.32,94.2450495049505,39.4,91.92893401015229,53.72,95.83023082650782,18.96,89.87341772151899,12.6,90.0,8.38,88.3054892601432,8.56,79.67289719626169,15.14,91.94187582562748,36.36,73.24
0.94,74.04,17.64,90.02267573696145,25.96,93.75963020030817,30.7,94.65798045602605,37.76,92.58474576271186,52.22,96.20834929145921,17.64,90.02267573696145,12.34,90.92382495948137,7.94,89.4206549118388,8.42,81.71021377672209,15.18,93.0171277997365,38.48,73.32
