threshold,final_accuracy,after_block3_isolated_accuracy,after_block3_rate,after_block3_accuracy,after_block6_isolated_accuracy,after_block6_rate,after_block6_accuracy,after_block9_isolated_accuracy,after_block9_rate,after_block9_accuracy,after_block3_sequential_rate,after_block3_sequential_accuracy,after_block6_sequential_rate,after_block6_sequential_accuracy,after_block9_sequential_rate,after_block9_sequential_accuracy,final_rate,overall_accuracy
0.85,99.06,68.32,19.82,94.34914228052472,88.98,67.24,98.24509220701962,97.08,90.54,99.4698475811796,19.82,94.34914228052472,48.9,97.79141104294479,23.76,98.82154882154882,7.52,96.98
0.86,99.06,68.32,18.7,95.18716577540107,88.98,65.68,98.38611449451888,97.08,90.2,99.490022172949,18.7,95.18716577540107,48.32,97.97185430463576,24.9,98.95582329317268,8.08,97.32
0.87,99.06,68.32,17.34,95.61707035755478,88.98,64.48,98.41811414392059,97.08,89.58,99.48649252065194,17.34,95.61707035755478,48.26,98.0522171570659,25.74,98.98989898989899,8.66,97.48
0.88,99.06,68.32,15.98,95.61952440550688,88.98,63.36,98.45328282828282,97.08,89.14,99.55126766883554,15.98,95.61952440550688,48.46,98.10152703260421,26.38,99.24184988627748,9.18,97.6
0.89,99.06,68.32,14.66,96.1800818553888,88.98,61.5,98.5040650406504,97.08,88.64,99.61642599277978,14.66,96.1800818553888,47.86,98.16130380275804,27.68,99.49421965317919,9.8,97.8
0.9,99.06,68.32,13.32,96.54654654654655,88.98,59.6,98.65771812080537,97.08,87.98,99.61354853375767,13.32,96.54654654654655,47.2,98.38983050847457,28.82,99.44482997918112,10.66,97.98
0.91,99.06,68.32,12.08,97.01986754966887,88.98,57.7,98.7521663778163,97.08,87.36,99.61080586080585,12.08,97.01986754966887,46.52,98.49527085124677,30.1,99.40199335548172,11.3,98.12
0.92,99.06,68.32,10.76,97.21189591078067,88.98,55.44,98.91774891774892,97.08,86.48,99.65309898242369,10.76,97.21189591078067,45.54,98.72639437856829,31.44,99.4910941475827,12.26,98.3
0.93,99.06,68.32,9.34,97.21627408993577,88.98,53.08,98.94498869630746,97.08,85.58,99.74293059125964,9.34,97.21627408993577,44.46,98.78542510121457,32.86,99.6956786366403,13.34,98.42
0.94,99.06,68.32,7.72,97.15025906735751,88.98,50.06,99.28086296444268,97.08,84.7,99.74025974025975,7.72,97.15025906735751,43.02,99.20966992096699,34.74,99.59700633275763,14.52,98.6
0.95,99.06,68.32,6.28,98.08917197452229,88.98,46.84,99.40222032450896,97.08,83.36,99.78406909788868,6.28,98.08917197452229,41.06,99.36678032148076,36.76,99.61915125136018,15.9,98.72
0.96,99.06,68.32,4.76,98.31932773109244,88.98,43.44,99.67771639042357,97.08,81.68,99.82859941234084,4.76,98.31932773109244,39.08,99.64176049129989,38.48,99.74012474012474,17.68,98.88
0.97,99.06,68.32,3.56,98.31460674157303,88.98,38.84,99.84552008238929,97.08,79.34,99.87396017141417,3.56,98.31460674157303,35.5,99.83098591549296,40.9,99.75550122249389,20.04,98.98
0.98,99.06,68.32,2.04,99.01960784313725,88.98,32.94,99.87856709168184,97.08,75.82,99.94724347137958,2.04,99.01960784313725,31.02,99.87105093488073,43.28,99.90757855822551,23.66,99.02
0.99,99.06,68.32,0.8,100.0,88.98,23.56,99.830220713073,97.08,69.9,99.94277539341917,0.8,100.0,22.82,99.82471516213847,46.66,99.91427346763824,29.72,99.04
1.0,99.06,68.32,0.0,0.0,88.98,0.0,0.0,97.08,0.5,100.0,0.0,0.0,0.0,0.0,0.5,100.0,99.5,99.06
