experiment_id,run_id,seed,state_id,training_mode,epoch,wall_clock_s,outer_objective,paper_utility_sum,expected_accuracy_sum,expected_accuracy_mean,expected_latency_sum_s,expected_latency_mean_s,split_entropy_HX,exit_entropy_HY,relative_objective_change,objective_cv,best_epoch,is_current_best,converged,stopping_reason,utility_consistent,source_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,40,171.54076480004005,3.188350717484805,3.188350717484805,3.9097389027053997,0.9774347256763499,0.7213881852205946,0.18034704630514864,2.328965661207835,-3.5019600982666015,0.3037058689223889,0.02866348077402522,37,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,41,178.18800880003255,3.200851011733573,3.200851011733573,3.9050360365494274,0.9762590091373569,0.7041850248158545,0.17604625620396364,2.2089174187978107,-3.6445534680684406,0.2886533605626517,0.021612321645282723,41,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,42,184.67498900007922,3.1939629505483675,3.1939629505483675,3.8985226973760003,0.9746306743440001,0.7045597468276329,0.17613993670690822,2.0860761516888937,-3.8005099382400513,0.27215934381533696,0.02012341254248016,41,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,43,190.16309390007518,3.2026862780883314,3.2026862780883314,3.907968444487712,0.976992111121928,0.7052821663993805,0.17632054159984512,1.9606523931821187,-3.9554664929707846,0.25486005436670056,0.01621301941075207,43,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,44,195.74803430004977,3.2025121140737363,3.2025121140737363,3.9076513779470723,0.9769128444867681,0.7051392638733361,0.17628481596833404,1.8404667282104492,-4.072130720297496,0.23467341701378883,0.01509833362436007,43,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,45,199.5142659000121,3.1996255554965356,3.1996255554965356,3.904304028576669,0.9760760071441672,0.7046784730801331,0.17616961827003327,1.7198689291477203,-4.2783389670054115,0.21641603338213125,0.014017617323676484,43,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,46,202.90402060002089,3.207124983873977,3.207124983873977,3.9125156531446397,0.9781289132861599,0.7053906692706627,0.17634766731766569,1.5988804546197255,-4.480954437573751,0.19102607357495477,0.013869861442586152,46,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,47,206.2902943000663,3.2053346009361396,3.2053346009361396,3.9089043581969793,0.9772260895492448,0.7035697572608397,0.17589243931520993,1.5059026221434275,-4.546000061670939,0.16771616291022143,0.012973550574400252,46,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,48,209.62769290001597,3.2059660383570012,3.2059660383570012,3.911095407104,0.977773851776,0.7051293687469986,0.17628234218674965,1.4234311817487082,-4.795395491917928,0.1544114635185312,0.009553288956058642,46,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,49,212.9466447000159,3.2075784021135125,3.2075784021135125,3.913009274292272,0.978252318573068,0.7054308721787595,0.1763577180446899,1.3323239365418753,-4.94919101079305,0.13800402058660538,0.008741923046003039,49,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
