algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
GA,45,830,0.8750975018857321,1.3467797690978078,20,population_mean,-0.47168226721207573,2.2218772709835397
GA,46,848,1.648253872962087,0.8964571430682504,20,population_mean,0.7517967298938366,2.5447110160303374
GA,47,866,1.3011798888776371,1.715501063466656,20,population_mean,-0.41432117458901896,3.0166809523442932
GA,48,884,1.5435222931877446,1.2324067887272312,20,population_mean,0.3111155044605134,2.775929081914976
GA,49,902,1.5381655577872528,1.0523635675108316,20,population_mean,0.48580199027642124,2.5905291252980844
GA,50,920,1.1968309989767916,1.7939424845562078,20,population_mean,-0.5971114855794162,2.9907734835329993
GA,51,938,1.3048121312892504,1.480086412996355,20,population_mean,-0.17527428170710446,2.784898544285605
GA,52,956,1.4569163930753766,1.7804535943270934,20,population_mean,-0.3235372012517168,3.23736998740247
GA,53,974,1.190069751046069,1.5256426564438554,20,population_mean,-0.3355729053977865,2.7157124074899244
GA,54,992,1.3016351749018242,2.179073679899071,20,population_mean,-0.8774385049972468,3.4807088548008953
GA,55,1010,1.3660514312544012,1.1969220412215207,20,population_mean,0.16912939003288052,2.562973472475922
GA,56,1028,1.918952357504238,0.46170091255776746,20,population_mean,1.4572514449464706,2.3806532700620053
GA,57,1046,1.3188900409872966,1.9394854452974204,20,population_mean,-0.6205954043101238,3.258375486284717
GA,58,1064,0.9860356997663983,2.1762721203925923,20,population_mean,-1.190236420626194,3.1623078201589907
GA,59,1082,1.3510244397389877,1.6906987593547265,20,population_mean,-0.3396743196157388,3.041723199093714
GA,60,1100,1.0610958672309838,2.1050875914706486,20,population_mean,-1.0439917242396648,3.1661834587016324
GA,61,1118,1.920442788086462,0.8636235828853416,20,population_mean,1.0568192052011205,2.7840663709718037
GA,62,1136,0.9805947657498754,1.971649756616468,20,population_mean,-0.9910549908665925,2.9522445223663434
GA,63,1154,0.7644851597323933,2.1338233241237115,20,population_mean,-1.3693381643913183,2.8983084838561046
GA,64,1172,1.7930508820722146,1.33410561630131,20,population_mean,0.45894526577090455,3.127156498373525
GA,65,1190,1.2913276242157947,1.780611652895755,20,population_mean,-0.48928402867996024,3.0719392771115497
GA,66,1208,1.467858104208776,1.4853645105432087,20,population_mean,-0.01750640633443279,2.9532226147519847
GA,67,1226,1.2756026756408905,2.281421859335755,20,population_mean,-1.0058191836948644,3.5570245349766454
GA,68,1244,1.0658761469913904,2.4273225197359207,20,population_mean,-1.3614463727445303,3.493198666727311
GA,69,1262,1.516443575518137,1.199104487853159,20,population_mean,0.317339087664978,2.715548063371296
GA,70,1280,1.163768139550125,1.9935693401834464,20,population_mean,-0.8298012006333215,3.157337479733571
GA,71,1298,1.3993100786325763,1.3790307928949672,20,population_mean,0.020279285737609065,2.7783408715275435
GA,72,1316,1.8160569175509362,1.110710834331127,20,population_mean,0.7053460832198093,2.926767751882063
GA,73,1334,1.5990215665356564,1.0714009018695896,20,population_mean,0.5276206646660668,2.670422468405246
